epoch rss_kb fds watches staging_files staging_kb
1787862645 25440 11 4175 0 0
1787862675 25468 11 4175 0 0
1787862705 25524 11 4175 0 0
1787862735 25524 11 4175 0 0
1787862765 25572 11 4175 0 0
1787862796 25520 11 4175 0 0
1787862826 25612 11 4175 0 0
1787862856 25480 11 4175 0 0
1787862886 25464 11 4175 0 0
1787862916 27408 11 4175 0 0
1787862946 25484 11 4175 0 0
1787862976 25588 11 4175 0 0
1787863006 25448 11 4175 0 0
1787863036 25448 11 4175 0 0
1787863066 25488 11 4175 0 0
1787863096 25488 11 4175 0 0
1787863126 25488 11 4175 0 0
1787863156 25488 11 4175 0 0
1787863186 25452 11 4175 0 0
1787863216 29876 11 4175 0 0
1787863246 25488 11 4175 0 0
1787863276 25468 11 4175 0 0
1787863306 25496 11 4175 0 0
1787863336 25524 11 4175 0 0
1787863366 25488 11 4175 0 0
1787863396 25504 11 4175 0 0
1787863426 25588 11 4175 0 0
1787863456 25540 11 4175 0 0
1787863486 25460 11 4175 0 0
1787863516 25460 11 4175 0 0
1787863546 25352 11 4175 0 0
1787863576 25464 11 4175 0 0
1787863606 25456 11 4175 0 0
1787863636 25452 11 4175 0 0
1787863666 25464 11 4175 0 0
1787863696 25508 11 4175 0 0
1787863726 25536 11 4175 0 0
1787863756 25508 11 4175 0 0
1787863786 25508 11 4175 0 0
1787863816 25508 11 4175 0 0
1787863846 25492 11 4175 0 0
1787863876 29588 12 4175 0 0
1787863906 25544 11 4175 0 0
1787863936 25392 11 4175 0 0
1787863966 25516 11 4175 0 0
1787863996 25460 11 4175 0 0
1787864026 25436 11 4175 0 0
1787864056 26736 11 4175 0 0
1787864086 25504 11 4175 0 0
1787864116 25492 11 4175 0 0
1787864147 25616 11 4175 0 0
1787864177 25488 11 4175 0 0
1787864207 25608 11 4175 0 0
1787864237 25516 11 4175 0 0
1787864267 25528 11 4175 0 0
1787864297 25536 11 4175 0 0
1787864327 25360 11 4175 0 0
1787864357 26376 11 4175 0 0
1787864387 27888 11 4175 0 0
1787864417 25536 11 4175 0 0
1787864447 25416 11 4175 0 0
1787864477 25416 11 4175 0 0
1787864507 25416 11 4175 0 0
1787864537 25520 11 4175 0 0
1787864567 25384 11 4175 0 0
1787864597 25484 11 4175 0 0
1787864627 25404 11 4175 0 0
1787864657 25516 11 4175 0 0
1787864687 25460 11 4175 0 0
1787864717 25544 11 4175 0 0
1787864747 25484 11 4175 0 0
1787864777 25592 11 4175 0 0
1787864807 25548 11 4175 0 0
1787864837 25444 11 4175 0 0
1787864867 25652 11 4175 0 0
1787864897 25556 11 4175 0 0
1787864927 25320 11 4175 0 0
1787864957 25444 11 4175 0 0
1787864987 25564 11 4175 0 0
1787865017 25556 11 4175 0 0
1787865047 25376 11 4175 0 0
1787865077 25448 11 4175 0 0
1787865107 25412 11 4175 0 0
1787865137 25296 11 4175 0 0
1787865167 25296 11 4175 0 0
1787865197 25296 11 4175 0 0
1787865227 25296 11 4175 0 0
1787865257 25436 11 4175 0 0
1787865287 25508 11 4175 0 0
1787865317 25460 11 4175 0 0
1787865347 25768 11 4175 0 0
1787865377 25416 11 4175 0 0
1787865407 25380 11 4175 0 0
1787865437 25420 11 4175 0 0
1787865467 25528 11 4175 0 0
1787865498 25444 11 4175 0 0
1787865528 25524 11 4175 0 0
1787865558 25440 11 4175 0 0
1787865588 25364 11 4175 0 0
1787865618 29128 12 4175 0 0
1787865648 25708 11 4175 0 0
