epoch agent_rss_kb agent_fds stage_files stage_kb dest_files
1787863069 13112 6 1 8396 41515
1787863099 13112 6 1 8396 41515
1787863129 13112 6 1 8396 41515
1787863159 13168 6 1 8396 41515
1787863189 13304 6 1 8396 41515
1787863219 13168 6 1 8396 41515
1787863249 13128 6 1 8396 41515
1787863279 13152 7 1 8396 41515
1787863309 13160 6 1 8396 41515
1787863340 13068 6 1 8396 41515
1787863370 13492 6 1 12492 41515
1787863400 13120 6 1 8396 41515
1787863430 13152 6 1 8396 41515
1787863460 13128 6 1 8396 41515
1787863490 13120 6 1 8396 41515
1787863520 13152 6 1 8396 41515
1787863550 13120 6 1 8396 41515
1787863580 13136 6 1 8396 41515
1787863610 13120 6 1 8396 41515
1787863640 13120 6 1 8396 41515
1787863670 13152 6 1 8396 41515
1787863700 13172 6 1 8396 41515
1787863731 13152 6 1 8396 41515
1787863761 13156 6 1 8396 41515
1787863791 13156 6 1 8396 41515
1787863821 13156 6 1 8396 41515
1787863851 13144 6 1 8396 41515
1787863881 13132 6 1 8396 41515
1787863911 13164 6 2 8396 41515
1787863941 13132 6 1 8396 41515
1787863971 13132 6 1 8396 41515
1787864001 13132 6 1 8396 41515
1787864031 13164 6 1 8396 41515
1787864061 13140 6 1 8396 41515
1787864091 13092 6 1 8396 41515
1787864121 13508 6 1 12492 41515
1787864152 13172 6 1 8396 41515
1787864182 13140 6 1 8396 41515
1787864212 13132 6 1 8396 41515
1787864242 16100 6 1 8396 41515
1787864272 13132 6 1 8396 41515
1787864302 13164 6 1 8396 41515
1787864332 13172 6 1 8396 41515
1787864362 13140 6 1 8396 41515
1787864392 16760 7 1 8396 41515
1787864422 13140 6 1 8396 41515
1787864452 13172 6 1 8396 41515
1787864482 13172 6 1 8396 41515
1787864512 13172 6 1 8396 41515
1787864542 13172 6 1 8396 41515
1787864573 13172 6 1 8396 41515
1787864603 13172 6 1 8396 41515
1787864633 13172 6 1 8396 41515
1787864663 13172 6 1 8396 41515
1787864693 13140 6 1 8396 41515
1787864723 13160 6 1 8396 41515
1787864753 13156 6 1 10444 41515
1787864783 13100 6 1 8396 41515
1787864813 13140 6 1 8396 41515
1787864843 13172 6 1 8396 41515
1787864873 13140 6 1 8396 41515
1787864903 13156 6 1 8396 41515
1787864933 13156 6 1 8396 41515
1787864963 13172 6 1 8396 41515
1787864994 13124 6 1 8396 41515
1787865024 13156 6 1 8396 41515
1787865054 13140 6 1 8396 41515
1787865084 13172 6 1 8396 41515
1787865114 13172 6 1 8396 41515
1787865144 13140 6 1 8396 41515
1787865174 13140 6 1 8396 41515
1787865204 13140 6 1 8396 41515
1787865234 13140 6 1 8396 41515
1787865264 13140 6 1 8396 41515
1787865294 13156 6 1 8396 41515
1787865324 13172 6 1 8396 41515
1787865354 13140 6 1 10444 41515
1787865384 13172 6 1 8396 41515
1787865415 13172 6 1 8396 41515
1787865445 13160 6 1 8396 41515
1787865475 13164 6 1 8396 41515
1787865505 13140 6 1 8396 41515
1787865535 13172 6 1 8396 41515
1787865565 13152 6 1 8396 41515
1787865595 13152 6 1 8396 41515
1787865625 13120 6 1 8396 41515
1787865655 13164 6 1 8396 41515
1787865685 17480 7 1 8396 41515
1787865715 13120 6 1 8396 41515
1787865745 13152 6 1 8396 41515
1787865775 13120 6 1 8396 41515
1787865805 13152 6 1 8396 41515
1787865836 13152 6 1 8396 41515
1787865866 13152 6 1 8396 41515
1787865896 13152 6 1 8396 41515
1787865926 13168 6 1 8396 41515
1787865956 13136 6 1 8396 41515
1787865986 13120 6 1 8396 41515
1787866016 13128 6 1 8396 41515
1787866046 13128 6 1 8396 41515
1787866076 13148 6 1 8396 41515
1787866106 13092 6 1 8396 41515
1787866136 13060 6 1 8396 41515
1787866166 14368 6 2 8396 41515
1787866196 13072 6 1 8396 41515
1787866226 13108 6 1 8396 41515
1787866257 13124 6 1 8396 41515
1787866287 13124 6 1 8396 41515
1787866317 13100 6 1 8396 41515
1787866347 13152 6 1 8396 41515
1787866377 13092 6 1 8396 41515
1787866407 13112 6 1 8396 41515
1787866437 13144 6 1 8396 41515
1787866467 13160 6 1 8396 41515
1787866497 13124 6 1 8396 41515
1787866527 13160 6 1 8396 41515
1787866557 13160 6 1 8396 41515
1787866587 13160 6 1 8396 41515
1787866617 13160 6 1 8396 41515
